---------------------------- TESTE 1 -------------------------------

Tamanho   Bubble    Insertion Merge     Heap      Quick     Counting  
1000      0.078760  0.019284  0.002710  0.003133  0.001032  0.000293  
1100      0.101250  0.023675  0.002970  0.003523  0.001148  0.000302  
1200      0.114417  0.028249  0.003289  0.003896  0.001261  0.000333  
1300      0.135348  0.033534  0.003550  0.004285  0.001377  0.000358  
1400      0.157985  0.039015  0.003919  0.004770  0.001519  0.000404  
1500      0.181999  0.044325  0.004260  0.005094  0.001668  0.000421  
1600      0.209186  0.051376  0.004618  0.005597  0.001825  0.000452  
1700      0.238316  0.058453  0.004907  0.006155  0.001902  0.000484  
1800      0.268367  0.065687  0.005146  0.006456  0.002105  0.000503  
1900      0.301260  0.074429  0.005556  0.006881  0.002242  0.000540  
2000      0.340041  0.083907  0.005999  0.007374  0.002464  0.000593  
2100      0.373409  0.091952  0.006213  0.007738  0.002412  0.000590  
2200      0.415037  0.101210  0.006687  0.008320  0.002634  0.000628  
2300      0.454456  0.112693  0.007055  0.008848  0.002771  0.000684  
2400      0.497371  0.122556  0.007414  0.009421  0.003059  0.000728  
2500      0.541425  0.132954  0.007788  0.009809  0.003200  0.000751  
2600      0.596209  0.145436  0.008086  0.010434  0.003288  0.000794  
2700      0.639694  0.156310  0.008420  0.010742  0.003297  0.000810  
2800      0.692332  0.171661  0.008681  0.011416  0.003604  0.000842  
2900      0.743239  0.180927  0.009196  0.011840  0.003722  0.000876  
3000      0.797797  0.195750  0.009579  0.012365  0.003985  0.000928  
3100      0.859047  0.210820  0.009810  0.012672  0.003940  0.000933  
3200      0.908525  0.221724  0.010171  0.013428  0.004134  0.000959  
3300      0.968599  0.237954  0.010570  0.013973  0.004312  0.001002  
3400      1.028977  0.250160  0.010892  0.014232  0.004431  0.001050  
3500      1.093126  0.267129  0.011252  0.014822  0.004580  0.001046  
3600      1.156797  0.281310  0.011571  0.015316  0.004837  0.001097  
3700      1.228295  0.300771  0.011932  0.015912  0.004992  0.001155  
3800      1.295297  0.315053  0.012187  0.016301  0.005140  0.001161  
3900      1.443522  0.346904  0.013517  0.017912  0.005311  0.001260  
4000      1.454128  0.357269  0.013248  0.017603  0.005483  0.001277  
4100      1.523383  0.370895  0.014296  0.018022  0.006053  0.001511  
4200      1.589528  0.388889  0.013760  0.018712  0.005809  0.001330  
4300      1.671572  0.411342  0.014345  0.019376  0.005893  0.001357  
4400      1.755969  0.431508  0.015110  0.019719  0.006181  0.001374  
4500      1.860227  0.446837  0.017871  0.020285  0.006899  0.001616  
4600      1.910135  0.468133  0.015242  0.020499  0.006217  0.001403  
4700      1.990268  0.483501  0.015662  0.021194  0.006385  0.001419  
4800      2.081992  0.510564  0.015861  0.021518  0.006549  0.001471  
4900      2.191867  0.535884  0.016259  0.022089  0.006957  0.001500  
5000      2.279934  0.562883  0.016752  0.022976  0.006819  0.001547

---------------------------- TESTE 2 -------------------------------

Tamanho   Bubble    Insertion Merge     Heap      Quick     Counting  
1000      0.080359  0.019825  0.002714  0.003118  0.001066  0.000278  
2000      0.333913  0.081936  0.005764  0.007129  0.002349  0.000554  
3000      0.749813  0.195061  0.010085  0.012401  0.004203  0.000925  
4000      1.422594  0.330210  0.012386  0.016759  0.004963  0.001147  
5000      2.152262  0.545323  0.015636  0.021394  0.006526  0.001498  
6000      3.254477  0.751142  0.018867  0.026404  0.007598  0.001712  
7000      4.312642  1.032157  0.023126  0.031539  0.009394  0.002088  
8000      5.593796  1.373022  0.026283  0.037637  0.011030  0.002351  
9000      7.233466  1.748404  0.030056  0.044059  0.012728  0.002782  
10000     8.961826  2.171721  0.034021  0.048989  0.014252  0.003125  
11000     10.872875 2.637446  0.037679  0.054610  0.015459  0.003299  
12000     13.019913 3.182202  0.041826  0.060981  0.017682  0.003754  
13000     15.481195 3.756948  0.046223  0.068880  0.018961  0.004064  
14000     18.016371 4.350571  0.049131  0.072478  0.020890  0.004635  
15000     20.872119 5.054871  0.053413  0.078396  0.022853  0.004701  
16000     24.168595 5.843711  0.060012  0.090573  0.025288  0.005299  
17000     27.364495 6.645387  0.063181  0.093802  0.026999  0.005472  
18000     30.966081 7.556999  0.067807  0.102871  0.029260  0.006028  
19000     36.172992 8.834404  0.075990  0.113012  0.032165  0.006519  
20000     41.031029 9.933720  0.082000  0.119997  0.035575  0.007245  
